lle_codigo,lle_llegadanal,lle_periodo,Mes,lle_valor
13001,CARTAGENA,2022,09,49243
17001,MANIZALES,2022,09,2220
5873,VIGIA DEL FUERTE,2022,09,125
15189,CIENAGA,2022,09,7
27077,BAJO BAUDO,2022,09,121
8001,BARRANQUILLA,2022,09,18711
73001,IBAGUE,2022,09,1560
76147,CARTAGO,2022,09,110
85010,AGUAZUL,2022,09,23
85001,EL YOPAL,2022,09,2
23001,MONTERIA,2022,09,20404
5147,CAREPA,2022,09,9637
20770,SAN MARTÍN,2022,09,1
5579,PUERTO BERRIO,2022,09,22
47001,SANTA MARTA,2022,09,31158
5847,URRAO,2022,09,269
68001,BUCARAMANGA,2022,09,10158
5059,ARMENIA,2022,09,5997
13688,SANTA ROSA DEL SUR,2022,09,15
11001,BOGOTA,2022,09,152383
85250,PAZ DE ARIPORO,2022,09,2
54001,CUCUTA,2022,09,11962
52001,PASTO,2022,09,4011
66001,PEREIRA,2022,09,16221
50350,LA MACARENA,2022,09,332
25175,CHIA,2022,09,0
5154,CAUCASIA,2022,09,818
27001,QUIBDO,2022,09,11236
5250,EL BAGRE,2022,09,879
85001,EL YOPAL,2022,09,139
68077,BARBOSA - SANTANDER,2022,09,19
20060,BOSCONIA,2022,09,59
5647,SAN ANDRES - ISLA,2022,09,19294
41001,NEIVA,2022,09,500
44001,RIOHACHA,2022,09,3731
20001,VALLEDUPAR,2022,09,2453
47058,ARIGUANI,2022,09,1
76001,CALI,2022,09,33369
23466,MONTELIBANO,2022,09,486
27006,ACANDI,2022,09,24
5490,NECOCLÍ,2022,09,132
2700,CAPURGANA,2022,09,402
68081,BARRANCABERMEJA,2022,09,36
50001,VILLAVICENCIO,2022,09,3248
20011,AGUACHICA,2022,09,0
15516,PAIPA,2022,09,711
70823,TOLU,2022,09,1710
27075,BAHIA SOLANO,2022,09,4248
70717,SAN PEDRO,2022,09,24
5604,REMEDIOS,2022,09,12
27495,NUQUI,2022,09,2410
91001,LETICIA,2022,09,836
70215,COROZAL,2022,09,609
97001,MITÚ,2022,09,2
13468,MOMPÓS,2022,09,33
19001,POPAYAN,2022,09,273
27205,CONDOTO,2022,09,276
50573,PUERTO LÓPEZ,2022,09,1
76147,CARTAGO,2021,09,186
13001,CARTAGENA,2021,09,36092
19001,POPAYAN,2021,09,278
85010,AGUAZUL,2021,09,18
5579,PUERTO BERRIO,2021,09,95
50350,LA MACARENA,2021,09,130
73443,MARIQUITA,2021,09,9
23466,MONTELIBANO,2021,09,398
25175,CHIA,2021,09,10
5250,EL BAGRE,2021,09,781
81020,TUBARA,2021,09,0
5154,CAUCASIA,2021,09,179
81001,ARAUCA,2021,09,153
27006,ACANDI,2021,09,320
20060,BOSCONIA,2021,09,22
5847,URRAO,2021,09,207
66001,PEREIRA,2021,09,7054
5001,MEDELLIN,2021,09,22
52001,PASTO,2021,09,1315
5647,SAN ANDRES - ISLA,2021,09,29635
5873,VIGIA DEL FUERTE,2021,09,94
76109,BUENAVENTURA,2021,09,4
85250,PAZ DE ARIPORO,2021,09,13
91001,LETICIA,2021,09,452
68001,BUCARAMANGA,2021,09,6652
13688,SANTA ROSA DEL SUR,2021,09,9
73001,IBAGUE,2021,09,857
68081,BARRANCABERMEJA,2021,09,116
47058,ARIGUANI,2021,09,3
17001,MANIZALES,2021,09,2289
27205,CONDOTO,2021,09,130
85001,EL YOPAL,2021,09,318
27001,QUIBDO,2021,09,9473
27077,BAJO BAUDO,2021,09,78
5615,RIONEGRO - ANTIOQUIA,2021,09,0
23001,MONTERIA,2021,09,15512
76001,CALI,2021,09,28887
11001,BOGOTA,2021,09,126841
70717,SAN PEDRO,2021,09,51
20001,VALLEDUPAR,2021,09,579
8001,BARRANQUILLA,2021,09,16418
19418,LOPEZ,2021,09,2
44001,RIOHACHA,2021,09,381
50001,VILLAVICENCIO,2021,09,761
5059,ARMENIA,2021,09,2674
27006,ACANDI,2021,09,145
70823,TOLU,2021,09,678
70215,COROZAL,2021,09,617
47245,EL BANCO,2021,09,4
54001,CUCUTA,2021,09,8851
18001,FLORENCIA,2021,09,83
5147,CAREPA,2021,09,10176
41001,NEIVA,2021,09,554
15516,PAIPA,2021,09,0
27495,NUQUI,2021,09,1884
27075,BAHIA SOLANO,2021,09,2757
47001,SANTA MARTA,2021,09,32021
5059,ARMENIA,2020,09,134
5250,EL BAGRE,2020,09,213
5154,CAUCASIA,2020,09,284
54001,CUCUTA,2020,09,1066
5873,VIGIA DEL FUERTE,2020,09,78
25175,CHIA,2020,09,30
27075,BAHIA SOLANO,2020,09,259
5579,PUERTO BERRIO,2020,09,3
68081,BARRANCABERMEJA,2020,09,32
20001,VALLEDUPAR,2020,09,4
5604,REMEDIOS,2020,09,3
47001,SANTA MARTA,2020,09,1279
76147,CARTAGO,2020,09,4
52001,PASTO,2020,09,153
41001,NEIVA,2020,09,1
19001,POPAYAN,2020,09,0
23001,MONTERIA,2020,09,2788
5001,MEDELLIN,2020,09,13
8001,BARRANQUILLA,2020,09,4590
27077,BAJO BAUDO,2020,09,57
13001,CARTAGENA,2020,09,4463
5847,URRAO,2020,09,187
13688,SANTA ROSA DEL SUR,2020,09,8
27205,CONDOTO,2020,09,6
17001,MANIZALES,2020,09,128
5147,CAREPA,2020,09,916
11001,BOGOTA,2020,09,25658
73001,IBAGUE,2020,09,19
27001,QUIBDO,2020,09,1586
23068,AYAPEL,2020,09,14
66001,PEREIRA,2020,09,2024
76001,CALI,2020,09,5408
73443,MARIQUITA,2020,09,1
68001,BUCARAMANGA,2020,09,1149
85001,EL YOPAL,2020,09,0
23466,MONTELIBANO,2020,09,203
5615,RIONEGRO - ANTIOQUIA,2020,09,0
5647,SAN ANDRES - ISLA,2020,09,1243
50001,VILLAVICENCIO,2020,09,310
27495,NUQUI,2020,09,107
27006,ACANDI,2020,09,1
5250,EL BAGRE,2019,09,614
5647,SAN ANDRES - ISLA,2019,09,16885
27006,ACANDI,2019,09,122
27001,QUIBDO,2019,09,9904
27077,BAJO BAUDO,2019,09,37
47001,SANTA MARTA,2019,09,19824
5615,RIONEGRO - ANTIOQUIA,2019,09,6
5873,VIGIA DEL FUERTE,2019,09,74
52835,TUMACO,2019,09,0
11001,BOGOTA,2019,09,169867
5604,REMEDIOS,2019,09,62
5001,MEDELLIN,2019,09,35
68001,BUCARAMANGA,2019,09,6450
17001,MANIZALES,2019,09,2783
68081,BARRANCABERMEJA,2019,09,178
5579,PUERTO BERRIO,2019,09,141
44001,RIOHACHA,2019,09,771
70713,SAN ONOFRE - SUCRE,2019,09,11
50001,VILLAVICENCIO,2019,09,1270
70823,TOLU,2019,09,0
52001,PASTO,2019,09,920
5154,CAUCASIA,2019,09,0
41001,NEIVA,2019,09,71
27495,NUQUI,2019,09,1612
85001,EL YOPAL,2019,09,182
27372,JURADO,2019,09,0
25175,CHIA,2019,09,2
19001,POPAYAN,2019,09,0
23001,MONTERIA,2019,09,12221
27075,BAHIA SOLANO,2019,09,2725
76001,CALI,2019,09,18943
73443,MARIQUITA,2019,09,4
8001,BARRANQUILLA,2019,09,16112
5147,CAREPA,2019,09,9181
5059,ARMENIA,2019,09,2322
18001,FLORENCIA,2019,09,0
70215,COROZAL,2019,09,1143
50680,SAN CARLOS GUAROA,2019,09,0
54001,CUCUTA,2019,09,4384
91001,LETICIA,2019,09,1370
13688,SANTA ROSA DEL SUR,2019,09,26
20001,VALLEDUPAR,2019,09,1208
5031,AMALFI,2019,09,0
66001,PEREIRA,2019,09,6384
23068,AYAPEL,2019,09,0
68679,SAN GIL,2019,09,0
81001,ARAUCA,2019,09,0
5847,URRAO,2019,09,211
27205,CONDOTO,2019,09,6
70708,SAN MARCOS,2019,09,12
76147,CARTAGO,2019,09,22
99524,LA PRIMAVERA,2019,09,0
23466,MONTELIBANO,2019,09,695
76563,PRADERA,2019,09,0
73001,IBAGUE,2019,09,1041
13001,CARTAGENA,2019,09,33064
8001,BARRANQUILLA,2018,09,13485
13688,SANTA ROSA DEL SUR,2018,09,19
5154,CAUCASIA,2018,09,2855
5847,URRAO,2018,09,22
44001,RIOHACHA,2018,09,476
11001,BOGOTA,2018,09,139703
76147,CARTAGO,2018,09,3
5001,MEDELLIN,2018,09,18
13468,MOMPÓS,2018,09,0
17524,PALESTINA,2018,09,39719
19001,POPAYAN,2018,09,202
50350,LA MACARENA,2018,09,289
23570,PUEBLO NUEVO,2018,09,563
23807,TIERRALTA,2018,09,17738
5604,REMEDIOS,2018,09,52
68081,BARRANCABERMEJA,2018,09,132
5147,CAREPA,2018,09,8520
5031,AMALFI,2018,09,2
52001,PASTO,2018,09,816
27077,BAJO BAUDO,2018,09,13
95001,SAN JOSE DEL GUAVIARE,2018,09,0
18756,SOLANO,2018,09,2767
73443,MARIQUITA,2018,09,2
23001,MONTERIA,2018,09,6401
76001,CALI,2018,09,17932
27001,QUIBDO,2018,09,9673
68861,VÉLEZ,2018,09,10
13001,CARTAGENA,2018,09,807
13430,MAGANGUÉ,2018,09,489
5250,EL BAGRE,2018,09,470
17873,VILLAMARiA,2018,09,1359
88001,SAN ANDReS,2018,09,11993
5172,CHIGORODÓ,2018,09,70
5059,ARMENIA,2018,09,1756
44090,DIBULLA,2018,09,3
27205,CONDOTO,2018,09,0
27495,NUQUI,2018,09,1155
85001,EL YOPAL,2018,09,528
73001,IBAGUE,2018,09,1113
20001,VALLEDUPAR,2018,09,884
47980,ZONA BANANERA,2018,09,11902
25175,CHIA,2018,09,4
5120,CÁCERES,2018,09,1855
15516,PAIPA,2018,09,7
27006,ACANDI,2018,09,582
5579,PUERTO BERRIO,2018,09,4
68001,BUCARAMANGA,2018,09,5880
54001,CUCUTA,2018,09,4255
52835,TUMACO,2018,09,196
5154,CAUCASIA,2017,09,1289
27006,ACANDI,2017,09,652
54498,OCAÑA,2017,09,0
50001,VILLAVICENCIO,2017,09,197
20001,VALLEDUPAR,2017,09,508
81001,ARAUCA,2017,09,0
76001,CALI,2017,09,12017
44001,RIOHACHA,2017,09,304
5001,MEDELLIN,2017,09,29
85001,EL YOPAL,2017,09,1109
47245,EL BANCO,2017,09,0
66001,PEREIRA,2017,09,4728
15516,PAIPA,2017,09,0
5585,PUERTO NARE,2017,09,9
50350,LA MACARENA,2017,09,204
25175,CHIA,2017,09,6
54001,CUCUTA,2017,09,3700
5059,ARMENIA,2017,09,1617
44847,URIBIA,2017,09,0
41001,NEIVA,2017,09,374
13001,CARTAGENA,2017,09,25037
91001,LETICIA,2017,09,1325
52001,PASTO,2017,09,575
52835,TUMACO,2017,09,131
8001,BARRANQUILLA,2017,09,9411
5604,REMEDIOS,2017,09,5
68001,BUCARAMANGA,2017,09,5219
47001,SANTA MARTA,2017,09,10816
99001,PUERTO CARREÑO,2017,09,0
68669,SAN ANDRÉS,2017,09,17720
73443,MARIQUITA,2017,09,0
5873,VIGIA DEL FUERTE,2017,09,76
18001,FLORENCIA,2017,09,80
27205,CONDOTO,2017,09,36
5147,CAREPA,2017,09,7753
76147,CARTAGO,2017,09,5
27001,QUIBDO,2017,09,9139
27495,NUQUI,2017,09,1163
19001,POPAYAN,2017,09,185
11001,BOGOTA,2017,09,128273
70215,COROZAL,2017,09,1449
23068,AYAPEL,2017,09,2
27075,BAHIA SOLANO,2017,09,1612
70823,TOLU,2017,09,628
13688,SANTA ROSA DEL SUR,2017,09,15
5250,EL BAGRE,2017,09,577
5579,PUERTO BERRIO,2017,09,16
68081,BARRANCABERMEJA,2017,09,97
5615,RIONEGRO - ANTIOQUIA,2017,09,3
17001,MANIZALES,2017,09,1893
5847,URRAO,2017,09,9
73449,MELGAR,2017,09,27
76109,BUENAVENTURA,2017,09,0
27372,JURADO,2017,09,55
73001,IBAGUE,2017,09,1201
23001,MONTERIA,2017,09,10794
25175,CHIA,2016,09,26
5059,ARMENIA,2016,09,968
27372,JURADO,2016,09,43
27075,BAHIA SOLANO,2016,09,1746
8141,CANDELARIA,2016,09,0
73001,IBAGUE,2016,09,1394
66001,PEREIRA,2016,09,4907
76834,TULUÁ,2016,09,2
68001,BUCARAMANGA,2016,09,6488
27006,ACANDI,2016,09,671
5001,MEDELLIN,2016,09,49
5604,REMEDIOS,2016,09,21
76147,CARTAGO,2016,09,0
50573,PUERTO LÓPEZ,2016,09,0
76001,CALI,2016,09,23219
70215,COROZAL,2016,09,1647
23001,MONTERIA,2016,09,10361
85001,EL YOPAL,2016,09,638
23068,AYAPEL,2016,09,0
13688,SANTA ROSA DEL SUR,2016,09,9
20001,VALLEDUPAR,2016,09,1057
27205,CONDOTO,2016,09,6
5585,PUERTO NARE,2016,09,15
5154,CAUCASIA,2016,09,1872
91001,LETICIA,2016,09,822
73547,PIEDRAS,2016,09,0
5847,URRAO,2016,09,6
5579,PUERTO BERRIO,2016,09,8
52001,PASTO,2016,09,954
8001,BARRANQUILLA,2016,09,15385
5873,VIGIA DEL FUERTE,2016,09,151
19001,POPAYAN,2016,09,204
5250,EL BAGRE,2016,09,544
50350,LA MACARENA,2016,09,322
5615,RIONEGRO - ANTIOQUIA,2016,09,20
25530,PARATEBUENO,2016,09,4
5147,CAREPA,2016,09,8083
17001,MANIZALES,2016,09,1025
47001,SANTA MARTA,2016,09,13249
68669,SAN ANDRÉS,2016,09,13318
73443,MARIQUITA,2016,09,3
41001,NEIVA,2016,09,623
76109,BUENAVENTURA,2016,09,27
44001,RIOHACHA,2016,09,315
68081,BARRANCABERMEJA,2016,09,182
11001,BOGOTA,2016,09,135213
